Data,Último,Abertura,Máxima,Mínima,Vol.,Var Percent,Variacao 1/0,mm_5,mm_10,retorno_diario,retorno_acumulado,volatilidade_5d,vol_21d,vol_historica_anual,vol_historica,correlacao_fechamento_volume
2020-01-02,118.573,115.652,118.573,115.649,5160000,2.53,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.3478
2020-01-03,117.707,118.564,118.792,117.341,6830000,-0.73,0,0.0,0.0,-0.0073,-0.0073,0.0,0.0,0.0,0.0158,0.3478
2020-01-06,116.878,117.707,117.707,116.269,6570000,-0.7,0,0.0,0.0,-0.007,-0.0143,0.0,0.0,0.0,0.0158,0.3478
2020-01-07,116.662,116.872,117.076,115.965,4850000,-0.18,0,0.0,0.0,-0.0018,-0.0161,0.0,0.0,0.0,0.0158,0.3478
2020-01-08,116.247,116.667,117.335,115.693,5910000,-0.36,0,117.2134,0.0,-0.0036,-0.0196,0.0032,0.0,0.0,0.0158,0.3478
2020-01-09,115.947,116.248,116.82,115.411,5950000,-0.26,0,116.6882,0.0,-0.0026,-0.0221,0.0025,0.0,0.0,0.0158,0.3478
2020-01-10,115.503,115.948,116.745,114.952,4780000,-0.38,0,116.2474,0.0,-0.0038,-0.0259,0.002,0.0,0.0,0.0158,0.3478
2020-01-13,117.325,115.503,117.333,115.503,5690000,1.58,1,116.3368,0.0,0.0158,-0.0105,0.0084,0.0,0.0,0.0158,0.3478
2020-01-14,117.632,117.325,117.705,116.61,5360000,0.26,1,116.5308,0.0,0.0026,-0.0079,0.0083,0.0,0.0,0.0158,0.3478
2020-01-15,116.414,117.632,117.632,116.188,5570000,-1.04,0,116.5642,116.8888,-0.0104,-0.0182,0.0098,0.0,0.0,0.0158,0.3478
2020-01-16,116.704,116.415,117.106,115.961,5420000,0.25,1,116.7156,116.7019,0.0025,-0.0158,0.0097,0.0,0.0,0.0158,0.3478
2020-01-17,118.478,116.71,118.479,116.71,4950000,1.52,1,117.3106,116.779,0.0152,-0.0008,0.0108,0.0,0.0,0.0158,0.3478
2020-01-20,118.862,118.478,118.862,117.928,3840000,0.32,1,117.618,116.9774,0.0032,0.0024,0.0091,0.0,0.0,0.0158,0.3478
2020-01-21,117.026,118.861,118.861,117.026,5090000,-1.54,0,117.4968,117.0138,-0.0154,-0.013,0.0121,0.0,0.0,0.0158,0.3478
2020-01-22,118.391,117.035,118.401,117.035,5770000,1.17,1,117.8922,117.2282,0.0117,-0.0015,0.0119,0.0,0.0,0.0158,0.3478
2020-01-23,119.528,118.391,119.535,116.906,6570000,0.96,1,118.457,117.5863,0.0096,0.0081,0.0121,0.0,0.0,0.0158,0.3478
2020-01-24,118.376,119.528,119.593,118.108,4780000,-0.96,0,118.4366,117.8736,-0.0096,-0.0017,0.0119,0.0,0.0,0.0158,0.3478
2020-01-27,114.482,118.347,118.347,114.376,6100000,-3.29,0,117.5606,117.5893,-0.0329,-0.0345,0.0185,0.0,0.0,0.0158,0.3478
2020-01-28,116.479,114.482,116.797,114.475,5230000,1.74,1,117.4512,117.474,0.0174,-0.0177,0.0206,0.0,0.0,0.0158,0.3478
2020-01-29,115.385,116.494,117.171,115.164,5100000,-0.94,0,116.85,117.3711,-0.0094,-0.0269,0.0196,0.0,0.0,0.0158,0.3478
2020-01-30,115.528,115.375,115.528,112.825,6320000,0.12,1,116.05,117.2535,0.0012,-0.0257,0.0183,0.0117,0.1857,0.0158,0.3478
2020-01-31,113.761,115.518,115.518,113.148,6220000,-1.53,0,115.127,116.7818,-0.0153,-0.0406,0.0187,0.0121,0.1921,0.0158,0.3478
2020-02-03,114.629,113.761,115.299,113.467,5510000,0.76,1,115.1564,116.3585,0.0076,-0.0333,0.0131,0.0122,0.1937,0.0158,0.3478
2020-02-04,115.557,114.631,116.556,114.631,5830000,0.81,1,114.972,116.2116,0.0081,-0.0254,0.0104,0.0123,0.1953,0.0158,0.3478
2020-02-05,116.028,115.563,117.701,115.562,7170000,0.41,1,115.1006,115.9753,0.0041,-0.0215,0.0096,0.0124,0.1968,0.0158,0.3478
2020-02-06,115.19,116.033,117.382,114.723,7380000,-0.72,0,115.033,115.5415,-0.0072,-0.0285,0.0103,0.0124,0.1968,0.0158,0.3478
2020-02-07,113.77,115.19,115.19,113.769,6590000,-1.23,0,115.0348,115.0809,-0.0123,-0.0405,0.0093,0.0127,0.2016,0.0158,0.3478
2020-02-10,112.57,113.771,114.176,112.134,7490000,-1.05,0,114.623,114.8897,-0.0105,-0.0506,0.0091,0.0129,0.2048,0.0158,0.3478
2020-02-11,115.371,112.574,115.576,112.574,6770000,2.49,1,114.5858,114.7789,0.0249,-0.027,0.0154,0.0136,0.2159,0.0158,0.3478
2020-02-12,116.674,115.371,117.581,115.371,8160000,1.13,1,114.715,114.9078,0.0113,-0.016,0.0162,0.0138,0.2191,0.0158,0.3478
2020-02-13,115.662,116.66,116.66,114.801,5640000,-0.87,0,114.8094,114.9212,-0.0087,-0.0246,0.0164,0.0138,0.2191,0.0158,0.3478
2020-02-14,114.381,115.663,115.663,114.132,5340000,-1.11,0,114.9316,114.9832,-0.0111,-0.0354,0.0162,0.014,0.2222,0.0158,0.3478
2020-02-17,115.309,114.381,115.696,114.381,4360000,0.81,1,115.4794,115.0512,0.0081,-0.0275,0.0149,0.0136,0.2159,0.0158,0.3478
2020-02-18,114.977,115.309,115.309,113.532,5550000,-0.29,0,115.4006,114.9932,-0.0029,-0.0303,0.01,0.0136,0.2159,0.0158,0.3478
2020-02-19,116.518,114.982,116.545,114.774,6330000,1.34,1,115.3694,115.0422,0.0134,-0.0173,0.0106,0.0136,0.2159,0.0158,0.3478
2020-02-20,114.586,116.518,116.552,114.379,6790000,-1.66,0,115.1542,114.9818,-0.0166,-0.0336,0.0126,0.0137,0.2175,0.0158,0.3478
2020-02-21,113.681,114.585,114.585,112.661,5900000,-0.79,0,115.0142,114.9729,-0.0079,-0.0413,0.0121,0.0136,0.2159,0.0158,0.3478
2020-02-26,105.718,113.647,113.647,105.053,9370000,-7.0,0,113.096,114.2877,-0.07,-0.1084,0.0317,0.02,0.3175,0.0158,0.3478
2020-02-27,102.984,105.711,106.656,102.984,11240000,-2.59,0,110.6974,113.049,-0.0259,-0.1315,0.0308,0.0196,0.3111,0.0158,0.3478
2020-02-28,104.172,102.984,104.172,99.951,11230000,1.15,1,108.2282,111.7988,0.0115,-0.1215,0.0303,0.0193,0.3064,0.0158,0.3478
2020-03-02,106.625,104.26,107.22,103.779,8860000,2.35,1,106.636,110.8951,0.0235,-0.1008,0.0366,0.0203,0.3223,0.0158,0.3478
2020-03-03,105.537,106.63,108.804,104.405,9390000,-1.02,0,105.0072,110.0107,-0.0102,-0.1099,0.0366,0.0203,0.3223,0.0158,0.3478
2020-03-04,107.224,105.54,107.809,105.042,8410000,1.6,1,105.3084,109.2022,0.016,-0.0957,0.0204,0.0206,0.327,0.0158,0.3478
2020-03-05,102.233,107.217,107.217,100.536,8600000,-4.65,0,105.1582,107.9278,-0.0465,-0.1378,0.0283,0.0225,0.3572,0.0158,0.3478
2020-03-06,97.997,102.23,102.23,96.886,11860000,-4.14,0,103.9232,106.0757,-0.0414,-0.1735,0.032,0.0236,0.3746,0.0158,0.3478
2020-03-09,86.067,97.982,97.982,85.88,14650000,-12.17,0,99.8116,103.2238,-0.1217,-0.2741,0.0518,0.0341,0.5413,0.0158,0.3478
2020-03-10,92.214,86.071,92.23,86.071,13530000,7.14,1,97.147,101.0771,0.0714,-0.2223,0.0726,0.0389,0.6175,0.0158,0.3478
2020-03-11,85.171,92.202,92.202,80.796,11790000,-7.64,0,92.7364,99.0224,-0.0764,-0.2817,0.0714,0.0415,0.6588,0.0158,0.3478
2020-03-12,72.583,85.103,85.103,68.488,12010000,-14.78,0,86.8064,95.9823,-0.1478,-0.3879,0.0857,0.0509,0.808,0.0158,0.3478
2020-03-13,82.678,72.621,83.758,72.621,15770000,13.91,1,83.7426,93.8329,0.1391,-0.3027,0.1258,0.0609,0.9668,0.0158,0.3478
2020-03-16,71.168,82.565,82.565,70.855,12850000,-13.92,0,80.7628,90.2872,-0.1392,-0.3998,0.1293,0.0664,1.0541,0.0158,0.3478
2020-03-17,74.617,71.178,77.255,70.782,14950000,4.85,1,77.2434,87.1952,0.0485,-0.3707,0.1251,0.0681,1.0811,0.0158,0.3478
2020-03-18,66.895,74.576,74.576,63.547,16750000,-10.35,0,73.5882,83.1623,-0.1035,-0.4358,0.1279,0.0706,1.1207,0.0158,0.3478
2020-03-19,68.332,66.883,70.071,61.691,16140000,2.15,1,72.738,79.7722,0.0215,-0.4237,0.114,0.0709,1.1255,0.0158,0.3478
2020-03-20,67.069,68.344,72.247,66.12,15150000,-1.85,0,69.6162,76.6794,-0.0185,-0.4344,0.0805,0.0708,1.1239,0.0158,0.3478
2020-03-23,63.57,67.067,67.604,62.161,11960000,-5.22,0,68.0966,74.4297,-0.0522,-0.4639,0.06,0.0705,1.1192,0.0158,0.3478
2020-03-24,69.729,63.604,71.535,63.604,11680000,9.69,1,67.119,72.1812,0.0969,-0.4119,0.0758,0.0755,1.1985,0.0158,0.3478
2020-03-25,74.956,69.727,76.714,69.36,12950000,7.5,1,68.7312,71.1597,0.075,-0.3678,0.0623,0.0783,1.243,0.0158,0.3478
2020-03-26,77.71,74.956,78.846,74.923,12760000,3.67,1,70.6068,71.6724,0.0367,-0.3446,0.0625,0.0781,1.2398,0.0158,0.3478
2020-03-27,73.429,77.708,77.708,73.057,10300000,-5.51,0,71.8788,70.7475,-0.0551,-0.3807,0.0708,0.0786,1.2477,0.0158,0.3478
2020-03-30,74.639,73.431,75.43,73.184,9030000,1.65,1,74.0926,71.0946,0.0165,-0.3705,0.0589,0.0787,1.2493,0.0158,0.3478
2020-03-31,73.02,74.629,75.511,72.385,11140000,-2.17,0,74.7508,70.9349,-0.0217,-0.3842,0.0506,0.0783,1.243,0.0158,0.3478
2020-04-01,70.967,73.011,73.011,69.569,10090000,-2.81,0,73.953,71.3421,-0.0281,-0.4015,0.0367,0.0783,1.243,0.0158,0.3478
2020-04-02,72.253,70.969,73.861,70.957,10540000,1.81,1,72.8616,71.7342,0.0181,-0.3906,0.0313,0.0784,1.2446,0.0158,0.3478
2020-04-03,69.538,72.241,72.241,67.802,10410000,-3.76,0,72.0834,71.9811,-0.0376,-0.4135,0.0261,0.0782,1.2414,0.0158,0.3478
2020-04-06,74.073,69.556,75.26,69.556,9690000,6.52,1,71.9702,73.0314,0.0652,-0.3753,0.0426,0.0799,1.2684,0.0158,0.3478
2020-04-07,76.358,74.078,79.855,74.078,11290000,3.08,1,72.6378,73.6943,0.0308,-0.356,0.0426,0.0761,1.2081,0.0158,0.3478
2020-04-08,78.625,76.335,79.058,76.115,10210000,2.97,1,74.1694,74.0612,0.0297,-0.3369,0.0373,0.0746,1.1842,0.0158,0.3478
2020-04-09,77.682,78.64,80.428,77.457,10750000,-1.2,0,75.2552,74.0584,-0.012,-0.3449,0.0403,0.0728,1.1557,0.0158,0.3478
2020-04-13,78.836,77.682,78.836,76.405,7650000,1.49,1,77.1148,74.5991,0.0149,-0.3351,0.028,0.0647,1.0271,0.0158,0.3478
2020-04-14,79.918,78.848,81.668,78.848,8590000,1.37,1,78.2838,75.127,0.0137,-0.326,0.0173,0.0571,0.9064,0.0158,0.3478
2020-04-15,78.831,79.911,80.035,77.546,9760000,-1.36,0,78.7784,75.7081,-0.0136,-0.3352,0.0188,0.0476,0.7556,0.0158,0.3478
2020-04-16,77.812,78.837,80.167,77.452,9030000,-1.29,0,78.6158,76.3926,-0.0129,-0.3438,0.0149,0.0467,0.7413,0.0158,0.3478
2020-04-17,78.99,77.817,79.846,77.754,8320000,1.51,1,78.8774,77.0663,0.0151,-0.3338,0.0152,0.0399,0.6334,0.0158,0.3478
2020-04-20,78.973,78.989,80.106,76.943,8870000,-0.02,0,78.9048,78.0098,-0.0002,-0.334,0.0138,0.0398,0.6318,0.0158,0.3478
2020-04-22,80.687,78.973,81.184,78.973,9850000,2.17,1,79.0586,78.6712,0.0217,-0.3195,0.016,0.0395,0.627,0.0158,0.3478
2020-04-23,79.673,80.69,81.934,78.622,10820000,-1.26,0,79.227,79.0027,-0.0126,-0.3281,0.0158,0.0373,0.5921,0.0158,0.3478
2020-04-24,75.331,79.667,79.667,72.041,16530000,-5.45,0,78.7308,78.6733,-0.0545,-0.3647,0.0302,0.0344,0.5461,0.0158,0.3478
2020-04-27,78.239,75.334,78.563,75.327,10660000,3.86,1,78.5806,78.729,0.0386,-0.3402,0.0356,0.0315,0.5,0.0158,0.3478
2020-04-28,81.312,78.243,81.427,78.243,12940000,3.93,1,79.0484,78.9766,0.0393,-0.3142,0.0401,0.0316,0.5016,0.0158,0.3478
2020-04-29,83.171,81.313,83.598,81.313,11720000,2.29,1,79.5452,79.3019,0.0229,-0.2986,0.0402,0.029,0.4604,0.0158,0.3478
2020-04-30,80.506,83.169,83.169,80.168,11800000,-3.2,0,79.7118,79.4694,-0.032,-0.321,0.0433,0.03,0.4762,0.0158,0.3478
2020-05-04,78.876,80.501,80.502,77.64,8590000,-2.02,0,80.4208,79.5758,-0.0202,-0.3348,0.0336,0.03,0.4762,0.0158,0.3478
2020-05-05,79.471,78.887,81.066,78.886,9150000,0.75,1,80.6672,79.6239,0.0075,-0.3298,0.0296,0.0291,0.4619,0.0158,0.3478
2020-05-06,79.064,79.473,79.996,78.056,9780000,-0.51,0,80.2176,79.633,-0.0051,-0.3332,0.0218,0.029,0.4604,0.0158,0.3478
2020-05-07,78.119,79.072,80.061,78.061,13810000,-1.2,0,79.2072,79.3762,-0.012,-0.3412,0.015,0.0277,0.4397,0.0158,0.3478
2020-05-08,80.263,78.152,80.557,78.152,10730000,2.74,1,79.1586,79.4352,0.0274,-0.3231,0.0186,0.0247,0.3921,0.0158,0.3478
2020-05-11,79.065,80.263,80.723,78.994,9780000,-1.49,0,79.1964,79.8086,-0.0149,-0.3332,0.0173,0.0242,0.3842,0.0158,0.3478
2020-05-12,77.872,79.065,80.344,77.872,10250000,-1.51,0,78.8766,79.7719,-0.0151,-0.3433,0.018,0.0236,0.3746,0.0158,0.3478
2020-05-13,77.772,77.877,78.911,77.152,11580000,-0.13,0,78.6182,79.4179,-0.0013,-0.3441,0.018,0.0235,0.3731,0.0158,0.3478
2020-05-14,79.011,77.77,79.011,75.697,13820000,1.59,1,78.7966,79.0019,0.0159,-0.3337,0.0189,0.0235,0.3731,0.0158,0.3478
2020-05-15,77.557,79.011,79.538,77.426,11720000,-1.84,0,78.2554,78.707,-0.0184,-0.3459,0.0143,0.0236,0.3746,0.0158,0.3478
2020-05-18,81.194,77.576,81.42,77.571,11530000,4.69,1,78.6812,78.9388,0.0469,-0.3152,0.0268,0.0256,0.4064,0.0158,0.3478
2020-05-19,80.742,81.197,82.175,80.647,10740000,-0.56,0,79.2552,79.0659,-0.0056,-0.3191,0.0252,0.0255,0.4048,0.0158,0.3478
2020-05-20,81.319,80.747,82.29,80.74,9520000,0.71,1,79.9646,79.2914,0.0071,-0.3142,0.0248,0.0253,0.4016,0.0158,0.3478
2020-05-21,83.027,81.32,83.309,81.317,11400000,2.1,1,80.7678,79.7822,0.021,-0.2998,0.0252,0.0257,0.408,0.0158,0.3478
2020-05-22,82.173,83.027,83.027,81.669,9280000,-1.03,0,81.691,79.9732,-0.0103,-0.307,0.0231,0.0254,0.4032,0.0158,0.3478
2020-05-25,85.663,82.198,85.876,82.193,8760000,4.25,1,82.5848,80.633,0.0425,-0.2776,0.0214,0.0268,0.4254,0.0158,0.3478
2020-05-26,85.469,85.668,87.333,85.396,12030000,-0.23,0,83.5302,81.3927,-0.0023,-0.2792,0.0208,0.0233,0.3699,0.0158,0.3478
2020-05-27,87.946,85.468,87.946,85.468,11210000,2.9,1,84.8556,82.4101,0.029,-0.2583,0.0219,0.0227,0.3604,0.0158,0.3478
2020-05-28,86.949,87.946,88.091,86.767,10120000,-1.13,0,85.64,83.2039,-0.0113,-0.2667,0.0247,0.0216,0.3429,0.0158,0.3478
2020-05-29,87.403,86.951,87.41,85.384,16550000,0.52,1,86.686,84.1885,0.0052,-0.2629,0.0224,0.0212,0.3365,0.0158,0.3478
2020-06-01,88.62,87.395,89.019,86.837,9850000,1.39,1,87.2774,84.9311,0.0139,-0.2526,0.0155,0.0197,0.3127,0.0158,0.3478
2020-06-02,91.046,88.622,91.046,88.622,11830000,2.74,1,88.3928,85.9615,0.0274,-0.2322,0.0167,0.0194,0.308,0.0158,0.3478
2020-06-03,93.002,91.048,93.71,91.048,15140000,2.15,1,89.404,87.1298,0.0215,-0.2157,0.0151,0.0197,0.3127,0.0158,0.3478
