RA;Idade;Sexo;IE;INDE 2022;INDE 2023;INDE 2024;Fase;Turma;Cg;Cf;Ct;Rec Av1;Rec Av2;Rec Av3;Rec Av4;IAA;IEG;IPS;IDA;Mat;Por;Atingiu PV;IPV;IAN;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;IPP;N_Idade;N_INDE 2022;N_INDE 2023;N_INDE 2024;N_Cg;N_Cf;N_Ct;N_Rec Av1;N_Rec Av2;N_Rec Av3;N_Rec Av4;N_IAA;N_IEG;N_IPS;N_IDA;N_Mat;N_Por;N_IPV;N_IAN;N_Defasagem;N_IPP;N_Sexo;N_Atingiu PV
RA-1;19;Feminino;Escola Pública;5,78;6,27;;7;A;753;18;10;0;1;1;0;8,3;4,1;5,6;4;2,7;3,5;Não;7,28;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,28;0,6;0,43;0,45;;0,87;0,09;0,53;0;1;1;0;0,83;0,41;0,41;0,4;0,27;0,35;0,64;0,33;0,5;0,64;0;0
RA-2;17;Feminino;Rede Decisão;7,06;7,65;;7;A;469;8;3;1;1;1;1;8,8;5,2;6,3;6,8;6,3;4,5;Não;6,78;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,07;0,5;0,63;0,69;;0,54;0,04;0,12;1;1;1;1;0,88;0,52;0,51;0,68;0,63;0,45;0,57;1;0,62;0,74;0;0
RA-3;17;Feminino;Rede Decisão;6,59;6,55;;7;A;629;13;6;1;1;1;1;0;7,9;5,6;5,6;5,8;4;Não;7,56;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,44;0,5;0,56;0,5;;0,73;0,06;0,29;1;1;1;1;0;0,79;0,41;0,56;0,58;0,4;0,67;1;0,62;0,66;0;0
RA-4;17;Masculino;Rede Decisão;5,95;6,57;;7;A;731;15;7;1;0;0;0;8,8;4,5;5,6;5;2,8;3,5;Não;5,28;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,82;0,5;0,46;0,5;;0,85;0,07;0,35;1;0;0;0;0,88;0,45;0,41;0,5;0,28;0,35;0,37;1;0,62;0,58;1;0
RA-5;17;Feminino;Rede Decisão;7,43;7,28;;7;A;344;6;2;1;1;1;1;7,9;8,6;5,6;5,2;7;2,9;Não;7,39;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,47;0,5;0,69;0,63;;0,4;0,03;0,06;1;1;1;1;0,79;0,86;0,41;0,52;0,7;0,29;0,65;1;0,62;0,66;0;0
RA-6;18;Feminino;Escola Pública;5,85;5,79;;7;A;745;16;8;1;1;1;0;7,9;4,5;7,5;3,3;2,3;5,3;Não;7,22;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,85;0,55;0,44;0,36;;0,86;0,08;0,41;1;1;1;0;0,79;0,45;0,67;0,33;0,23;0,53;0,63;0,33;0,5;0,58;0;0
RA-7;18;Masculino;Rede Decisão;6,82;6,59;;7;A;550;11;5;1;1;1;0;0;8,4;7,5;7,6;8,2;5,7;Não;7,67;5;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,93;0,55;0,59;0,51;;0,64;0,05;0,24;1;1;1;0;0;0,84;0,67;0,76;0,82;0,57;0,69;0,33;0,5;0,72;1;0
RA-8;20;Feminino;Escola Pública;4,79;6,01;;7;A;836;21;13;0;0;0;0;7,1;4,6;6,3;1,6;1,2;0,7;Não;6,28;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,88;0,65;0,27;0,4;;0,97;0,1;0,71;0;0;0;0;0,71;0,46;0,51;0,16;0,12;0,07;0,5;0,33;0,5;0,58;0;0
RA-9;18;Feminino;Escola Pública;8,11;7,68;;7;A;113;1;1;1;0;1;0;8,8;9,5;7,5;6,7;5,5;6;Sim;9,5;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,96;0,55;0,79;0,7;;0,13;0;0;1;0;1;0;0,88;0,95;0,67;0,67;0,55;0,6;0,93;0,33;0,5;0,73;0;1
RA-10;18;Feminino;Escola Pública;5,78;5,72;;7;A;752;17;9;1;0;0;0;8,3;5,2;5;4,1;3,3;2,6;Não;7,06;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,04;0,55;0,43;0,35;;0,87;0,08;0,47;1;0;0;0;0,83;0,52;0,33;0,41;0,33;0,26;0,61;0,33;0,5;0,61;0;0
RA-11;18;Feminino;Escola Pública;5,32;6,16;;7;A;799;19;11;1;0;0;0;9,2;4,2;5;3;1,8;2,5;Não;6,39;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,31;0,55;0,36;0,43;;0,93;0,09;0,59;1;0;0;0;0,92;0,42;0,33;0,3;0,18;0,25;0,52;0,33;0,5;0,64;0;0
RA-12;17;Feminino;Escola Pública;4,83;5,46;;7;A;834;20;12;1;1;0;0;0;4;6,9;1,5;2,7;1,1;Não;6,39;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,15;0,5;0,28;0,3;;0,97;0,1;0,65;1;1;0;0;0;0,4;0,59;0,15;0,27;0,11;0,52;1;0,62;0,62;0;0
